config,judge,relevance_mean,relevance_std,relevance_n,completeness_mean,completeness_std,completeness_n,specificity_mean,specificity_std,specificity_n,helpfulness_mean,helpfulness_std,helpfulness_n,source_faithfulness_mean,source_faithfulness_std,source_faithfulness_n,core4_mean,core4_std,core4_n
gpt-5.5/live,claude-opus-4.7,5.000,0.000,53,4.792,0.406,53,4.453,0.601,53,4.642,0.517,53,3.642,0.553,53,4.722,0.488,212
gpt-5.5/live,gemini-3.1-pro-preview,4.981,0.136,53,4.981,0.136,53,4.774,0.717,53,4.774,0.743,53,4.679,0.947,53,4.877,0.536,212
gpt-5.5/live,glm-5.1,5.000,0.000,53,4.868,0.390,53,4.604,0.625,53,4.868,0.390,53,4.094,0.734,53,4.835,0.441,212
gpt-5.5/live,gpt-5.5,4.962,0.191,53,4.528,0.536,53,2.925,0.821,53,3.943,0.564,53,2.528,0.716,53,4.090,0.955,212
qwen3.5-122b/live,claude-opus-4.7,4.792,0.490,53,4.472,0.690,53,3.906,0.896,53,4.094,0.830,53,3.170,0.795,53,4.316,0.818,212
qwen3.5-122b/live,gemini-3.1-pro-preview,4.925,0.428,53,4.887,0.462,53,4.698,0.815,53,4.623,0.976,53,4.472,1.143,53,4.783,0.720,212
qwen3.5-122b/live,glm-5.1,4.981,0.136,53,4.717,0.528,53,3.868,1.010,53,4.358,0.779,53,3.377,0.956,53,4.481,0.810,212
qwen3.5-122b/live,gpt-5.5,4.566,0.599,53,3.830,0.720,53,2.396,0.526,53,3.321,0.607,53,1.981,0.495,53,3.528,1.002,212
qwen3.6-27b/live,claude-opus-4.7,4.906,0.446,53,4.566,0.765,53,4.245,0.822,53,4.226,0.924,53,3.472,0.767,53,4.486,0.810,212
qwen3.6-27b/live,gemini-3.1-pro-preview,4.943,0.231,53,4.849,0.451,53,4.774,0.663,53,4.736,0.588,53,4.642,0.992,53,4.825,0.516,212
qwen3.6-27b/live,glm-5.1,4.942,0.233,52,4.692,0.666,52,4.077,0.895,52,4.519,0.820,52,3.519,0.888,52,4.558,0.770,208
qwen3.6-27b/live,gpt-5.5,4.660,0.512,53,4.000,0.727,53,2.604,0.785,53,3.585,0.738,53,2.226,0.691,53,3.712,1.022,212
qwen3.6-27b/no-tools,claude-opus-4.7,4.830,0.771,53,4.528,0.860,53,4.057,0.960,53,4.302,0.923,53,3.288,0.768,52,4.429,0.926,212
qwen3.6-27b/no-tools,gemini-3.1-pro-preview,4.849,0.762,53,4.792,0.786,53,4.245,1.287,53,4.302,1.368,53,4.058,1.512,52,4.547,1.121,212
qwen3.6-27b/no-tools,glm-5.1,4.808,0.785,52,4.673,0.871,52,4.019,1.009,52,4.462,1.009,52,3.471,0.893,51,4.490,0.971,208
qwen3.6-27b/no-tools,gpt-5.5,4.528,0.860,53,3.981,0.879,53,2.340,0.643,53,3.283,0.737,53,1.923,0.583,52,3.533,1.134,212
qwen3.6-27b/rag,claude-opus-4.7,4.264,0.935,53,3.283,1.234,53,3.226,1.298,53,3.226,1.110,53,4.143,0.808,49,3.500,1.234,212
qwen3.6-27b/rag,gemini-3.1-pro-preview,4.887,0.462,53,4.396,1.016,53,4.208,1.016,53,4.151,1.106,53,4.939,0.314,49,4.410,0.979,212
qwen3.6-27b/rag,glm-5.1,4.642,0.729,53,3.679,1.343,53,3.755,1.164,53,3.717,1.188,53,4.633,0.720,49,3.948,1.198,212
qwen3.6-27b/rag,gpt-5.5,4.321,0.772,53,3.132,0.932,53,2.566,0.714,53,3.038,0.823,53,3.306,1.129,49,3.264,1.040,212
qwen3.6-35b/grep,glm-5.1,4.868,0.339,53,4.811,0.551,53,4.321,0.885,53,4.660,0.699,53,3.774,0.924,53,4.665,0.684,212
qwen3.6-35b/live,claude-opus-4.7,4.849,0.491,53,4.472,0.860,53,3.981,0.981,53,4.038,0.931,53,3.038,0.823,53,4.335,0.909,212
qwen3.6-35b/live,gemini-3.1-pro-preview,4.736,0.781,53,4.774,0.861,53,4.396,1.087,53,4.302,1.282,53,4.057,1.472,53,4.552,1.043,212
qwen3.6-35b/live,glm-5.1,4.906,0.446,53,4.755,0.698,53,3.868,1.100,53,4.396,0.832,53,3.340,1.027,53,4.481,0.898,212
qwen3.6-35b/live,gpt-5.5,4.585,0.657,53,3.868,0.728,53,2.321,0.575,53,3.302,0.716,53,1.962,0.474,53,3.519,1.066,212
