question_id,config,judge,dim,score
question_1,gpt-5.5/live,glm-5.1,relevance,5
question_1,gpt-5.5/live,glm-5.1,completeness,5
question_1,gpt-5.5/live,glm-5.1,specificity,4
question_1,gpt-5.5/live,glm-5.1,helpfulness,5
question_1,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_2,gpt-5.5/live,glm-5.1,relevance,5
question_2,gpt-5.5/live,glm-5.1,completeness,5
question_2,gpt-5.5/live,glm-5.1,specificity,5
question_2,gpt-5.5/live,glm-5.1,helpfulness,5
question_2,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_3,gpt-5.5/live,glm-5.1,relevance,5
question_3,gpt-5.5/live,glm-5.1,completeness,4
question_3,gpt-5.5/live,glm-5.1,specificity,4
question_3,gpt-5.5/live,glm-5.1,helpfulness,5
question_3,gpt-5.5/live,glm-5.1,source_faithfulness,3
question_4,gpt-5.5/live,glm-5.1,relevance,5
question_4,gpt-5.5/live,glm-5.1,completeness,5
question_4,gpt-5.5/live,glm-5.1,specificity,5
question_4,gpt-5.5/live,glm-5.1,helpfulness,5
question_4,gpt-5.5/live,glm-5.1,source_faithfulness,5
question_5,gpt-5.5/live,glm-5.1,relevance,5
question_5,gpt-5.5/live,glm-5.1,completeness,5
question_5,gpt-5.5/live,glm-5.1,specificity,5
question_5,gpt-5.5/live,glm-5.1,helpfulness,5
question_5,gpt-5.5/live,glm-5.1,source_faithfulness,5
question_6,gpt-5.5/live,glm-5.1,relevance,5
question_6,gpt-5.5/live,glm-5.1,completeness,5
question_6,gpt-5.5/live,glm-5.1,specificity,5
question_6,gpt-5.5/live,glm-5.1,helpfulness,5
question_6,gpt-5.5/live,glm-5.1,source_faithfulness,5
question_7,gpt-5.5/live,glm-5.1,relevance,5
question_7,gpt-5.5/live,glm-5.1,completeness,5
question_7,gpt-5.5/live,glm-5.1,specificity,5
question_7,gpt-5.5/live,glm-5.1,helpfulness,5
question_7,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_8,gpt-5.5/live,glm-5.1,relevance,5
question_8,gpt-5.5/live,glm-5.1,completeness,5
question_8,gpt-5.5/live,glm-5.1,specificity,4
question_8,gpt-5.5/live,glm-5.1,helpfulness,4
question_8,gpt-5.5/live,glm-5.1,source_faithfulness,3
question_9,gpt-5.5/live,glm-5.1,relevance,5
question_9,gpt-5.5/live,glm-5.1,completeness,4
question_9,gpt-5.5/live,glm-5.1,specificity,5
question_9,gpt-5.5/live,glm-5.1,helpfulness,5
question_9,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_10,gpt-5.5/live,glm-5.1,relevance,5
question_10,gpt-5.5/live,glm-5.1,completeness,5
question_10,gpt-5.5/live,glm-5.1,specificity,5
question_10,gpt-5.5/live,glm-5.1,helpfulness,5
question_10,gpt-5.5/live,glm-5.1,source_faithfulness,5
question_11,gpt-5.5/live,glm-5.1,relevance,5
question_11,gpt-5.5/live,glm-5.1,completeness,5
question_11,gpt-5.5/live,glm-5.1,specificity,4
question_11,gpt-5.5/live,glm-5.1,helpfulness,5
question_11,gpt-5.5/live,glm-5.1,source_faithfulness,3
question_12,gpt-5.5/live,glm-5.1,relevance,5
question_12,gpt-5.5/live,glm-5.1,completeness,5
question_12,gpt-5.5/live,glm-5.1,specificity,4
question_12,gpt-5.5/live,glm-5.1,helpfulness,5
question_12,gpt-5.5/live,glm-5.1,source_faithfulness,3
question_13,gpt-5.5/live,glm-5.1,relevance,5
question_13,gpt-5.5/live,glm-5.1,completeness,5
question_13,gpt-5.5/live,glm-5.1,specificity,5
question_13,gpt-5.5/live,glm-5.1,helpfulness,5
question_13,gpt-5.5/live,glm-5.1,source_faithfulness,5
question_14,gpt-5.5/live,glm-5.1,relevance,5
question_14,gpt-5.5/live,glm-5.1,completeness,5
question_14,gpt-5.5/live,glm-5.1,specificity,5
question_14,gpt-5.5/live,glm-5.1,helpfulness,5
question_14,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_15,gpt-5.5/live,glm-5.1,relevance,5
question_15,gpt-5.5/live,glm-5.1,completeness,5
question_15,gpt-5.5/live,glm-5.1,specificity,5
question_15,gpt-5.5/live,glm-5.1,helpfulness,5
question_15,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_16,gpt-5.5/live,glm-5.1,relevance,5
question_16,gpt-5.5/live,glm-5.1,completeness,5
question_16,gpt-5.5/live,glm-5.1,specificity,5
question_16,gpt-5.5/live,glm-5.1,helpfulness,5
question_16,gpt-5.5/live,glm-5.1,source_faithfulness,5
question_17,gpt-5.5/live,glm-5.1,relevance,5
question_17,gpt-5.5/live,glm-5.1,completeness,5
question_17,gpt-5.5/live,glm-5.1,specificity,4
question_17,gpt-5.5/live,glm-5.1,helpfulness,5
question_17,gpt-5.5/live,glm-5.1,source_faithfulness,3
question_18,gpt-5.5/live,glm-5.1,relevance,5
question_18,gpt-5.5/live,glm-5.1,completeness,5
question_18,gpt-5.5/live,glm-5.1,specificity,5
question_18,gpt-5.5/live,glm-5.1,helpfulness,5
question_18,gpt-5.5/live,glm-5.1,source_faithfulness,3
question_19,gpt-5.5/live,glm-5.1,relevance,5
question_19,gpt-5.5/live,glm-5.1,completeness,5
question_19,gpt-5.5/live,glm-5.1,specificity,5
question_19,gpt-5.5/live,glm-5.1,helpfulness,5
question_19,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_20,gpt-5.5/live,glm-5.1,relevance,5
question_20,gpt-5.5/live,glm-5.1,completeness,5
question_20,gpt-5.5/live,glm-5.1,specificity,5
question_20,gpt-5.5/live,glm-5.1,helpfulness,5
question_20,gpt-5.5/live,glm-5.1,source_faithfulness,3
question_21,gpt-5.5/live,glm-5.1,relevance,5
question_21,gpt-5.5/live,glm-5.1,completeness,5
question_21,gpt-5.5/live,glm-5.1,specificity,5
question_21,gpt-5.5/live,glm-5.1,helpfulness,5
question_21,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_22,gpt-5.5/live,glm-5.1,relevance,5
question_22,gpt-5.5/live,glm-5.1,completeness,5
question_22,gpt-5.5/live,glm-5.1,specificity,5
question_22,gpt-5.5/live,glm-5.1,helpfulness,5
question_22,gpt-5.5/live,glm-5.1,source_faithfulness,3
question_23,gpt-5.5/live,glm-5.1,relevance,5
question_23,gpt-5.5/live,glm-5.1,completeness,5
question_23,gpt-5.5/live,glm-5.1,specificity,5
question_23,gpt-5.5/live,glm-5.1,helpfulness,5
question_23,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_24,gpt-5.5/live,glm-5.1,relevance,5
question_24,gpt-5.5/live,glm-5.1,completeness,5
question_24,gpt-5.5/live,glm-5.1,specificity,5
question_24,gpt-5.5/live,glm-5.1,helpfulness,5
question_24,gpt-5.5/live,glm-5.1,source_faithfulness,5
question_25,gpt-5.5/live,glm-5.1,relevance,5
question_25,gpt-5.5/live,glm-5.1,completeness,5
question_25,gpt-5.5/live,glm-5.1,specificity,5
question_25,gpt-5.5/live,glm-5.1,helpfulness,5
question_25,gpt-5.5/live,glm-5.1,source_faithfulness,5
question_26,gpt-5.5/live,glm-5.1,relevance,5
question_26,gpt-5.5/live,glm-5.1,completeness,5
question_26,gpt-5.5/live,glm-5.1,specificity,2
question_26,gpt-5.5/live,glm-5.1,helpfulness,4
question_26,gpt-5.5/live,glm-5.1,source_faithfulness,5
question_27,gpt-5.5/live,glm-5.1,relevance,5
question_27,gpt-5.5/live,glm-5.1,completeness,5
question_27,gpt-5.5/live,glm-5.1,specificity,5
question_27,gpt-5.5/live,glm-5.1,helpfulness,5
question_27,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_28,gpt-5.5/live,glm-5.1,relevance,5
question_28,gpt-5.5/live,glm-5.1,completeness,5
question_28,gpt-5.5/live,glm-5.1,specificity,5
question_28,gpt-5.5/live,glm-5.1,helpfulness,5
question_28,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_29,gpt-5.5/live,glm-5.1,relevance,5
question_29,gpt-5.5/live,glm-5.1,completeness,5
question_29,gpt-5.5/live,glm-5.1,specificity,5
question_29,gpt-5.5/live,glm-5.1,helpfulness,5
question_29,gpt-5.5/live,glm-5.1,source_faithfulness,5
question_30,gpt-5.5/live,glm-5.1,relevance,5
question_30,gpt-5.5/live,glm-5.1,completeness,5
question_30,gpt-5.5/live,glm-5.1,specificity,4
question_30,gpt-5.5/live,glm-5.1,helpfulness,5
question_30,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_31,gpt-5.5/live,glm-5.1,relevance,5
question_31,gpt-5.5/live,glm-5.1,completeness,5
question_31,gpt-5.5/live,glm-5.1,specificity,4
question_31,gpt-5.5/live,glm-5.1,helpfulness,5
question_31,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_32,gpt-5.5/live,glm-5.1,relevance,5
question_32,gpt-5.5/live,glm-5.1,completeness,5
question_32,gpt-5.5/live,glm-5.1,specificity,4
question_32,gpt-5.5/live,glm-5.1,helpfulness,4
question_32,gpt-5.5/live,glm-5.1,source_faithfulness,3
question_33,gpt-5.5/live,glm-5.1,relevance,5
question_33,gpt-5.5/live,glm-5.1,completeness,5
question_33,gpt-5.5/live,glm-5.1,specificity,5
question_33,gpt-5.5/live,glm-5.1,helpfulness,5
question_33,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_34,gpt-5.5/live,glm-5.1,relevance,5
question_34,gpt-5.5/live,glm-5.1,completeness,5
question_34,gpt-5.5/live,glm-5.1,specificity,5
question_34,gpt-5.5/live,glm-5.1,helpfulness,5
question_34,gpt-5.5/live,glm-5.1,source_faithfulness,4
question_35,gpt-5.5/live,glm-5.1,relevance,5
question_35,gpt-5.5/live,glm-5.1,completeness,5
question_35,gpt-5.5/live,glm-5.1,specificity,5
question_35,gpt-5.5/live,glm-5.1,helpfulness,5
question_35,gpt-5.5/live,glm-5.1,source_faithfulness,5
question_36,gpt-5.5/live,glm-5.1,relevance,5
