question_id,config,grader,rank
question_8,qwen3.6-27b/rag,dima,1
question_8,qwen3.6-27b/no-tools,dima,2
question_8,qwen3.6-35b/live,dima,2
question_8,qwen3.6-27b/live,dima,1
question_8,gpt-5.5/live,dima,1
question_38,qwen3.6-35b/live,dima,1
question_38,gpt-5.5/live,dima,2
question_38,qwen3.6-27b/live,dima,3
question_38,qwen3.6-27b/no-tools,dima,1
question_38,qwen3.6-27b/rag,dima,4
question_39,qwen3.6-27b/live,dima,2
question_39,gpt-5.5/live,dima,1
question_39,qwen3.6-27b/no-tools,dima,1
question_39,qwen3.6-35b/live,dima,3
question_39,qwen3.6-27b/rag,dima,4
question_43,qwen3.6-35b/live,dima,1
question_43,qwen3.6-27b/live,dima,1
question_43,qwen3.6-27b/no-tools,dima,1
question_43,gpt-5.5/live,dima,1
question_43,qwen3.6-27b/rag,dima,2
question_3,qwen3.6-27b/live,dima,4
question_3,qwen3.6-35b/live,dima,3
question_3,qwen3.6-27b/no-tools,dima,2
question_3,gpt-5.5/live,dima,1
question_3,qwen3.6-27b/rag,dima,3
question_32,qwen3.6-27b/rag,dima,3
question_32,qwen3.6-27b/live,dima,1
question_32,qwen3.6-27b/no-tools,dima,3
question_32,gpt-5.5/live,dima,2
question_32,qwen3.6-35b/live,dima,3
question_4,qwen3.6-35b/live,dima,1
question_4,qwen3.6-27b/no-tools,dima,1
question_4,qwen3.6-27b/rag,dima,1
question_4,gpt-5.5/live,dima,1
question_4,qwen3.6-27b/live,dima,1
question_49,qwen3.6-27b/no-tools,dima,1
question_49,qwen3.6-27b/live,dima,1
question_49,qwen3.6-35b/live,dima,1
question_49,gpt-5.5/live,dima,1
question_49,qwen3.6-27b/rag,dima,2
question_42,gpt-5.5/live,dima,1
question_42,qwen3.6-27b/no-tools,dima,2
question_42,qwen3.6-27b/rag,dima,4
question_42,qwen3.6-27b/live,dima,3
question_42,qwen3.6-35b/live,dima,4
question_37,qwen3.6-27b/no-tools,dima,1
question_37,qwen3.6-27b/rag,dima,2
question_37,qwen3.6-35b/live,dima,1
question_37,qwen3.6-27b/live,dima,1
question_37,gpt-5.5/live,dima,1
question_6,qwen3.6-27b/no-tools,dima,2
question_6,qwen3.6-27b/live,dima,3
question_6,qwen3.6-27b/rag,dima,3
question_6,qwen3.6-35b/live,dima,3
question_6,gpt-5.5/live,dima,1
question_26,qwen3.6-35b/live,dima,2
question_26,qwen3.6-27b/rag,dima,2
question_26,qwen3.6-27b/no-tools,dima,2
question_26,qwen3.6-27b/live,dima,1
question_26,gpt-5.5/live,dima,2
question_35,qwen3.6-35b/live,dima,1
question_35,qwen3.6-27b/rag,dima,1
question_35,qwen3.6-27b/no-tools,dima,1
question_35,gpt-5.5/live,dima,1
question_35,qwen3.6-27b/live,dima,1
question_53,gpt-5.5/live,dima,1
question_53,qwen3.6-27b/live,dima,1
question_53,qwen3.6-27b/no-tools,dima,2
question_53,qwen3.6-35b/live,dima,1
question_53,qwen3.6-27b/rag,dima,1
question_29,gpt-5.5/live,dima,1
question_29,qwen3.6-27b/live,dima,1
question_29,qwen3.6-35b/live,dima,1
question_29,qwen3.6-27b/no-tools,dima,1
question_29,qwen3.6-27b/rag,dima,2
question_12,qwen3.6-35b/live,dima,3
question_12,qwen3.6-27b/rag,dima,4
question_12,gpt-5.5/live,dima,1
question_12,qwen3.6-27b/live,dima,2
question_12,qwen3.6-27b/no-tools,dima,3
question_33,qwen3.6-27b/no-tools,dima,2
question_33,qwen3.6-35b/live,dima,3
question_33,qwen3.6-27b/live,dima,3
question_33,qwen3.6-27b/rag,dima,3
question_33,gpt-5.5/live,dima,1
question_44,qwen3.6-35b/live,dima,3
question_44,qwen3.6-27b/no-tools,dima,2
question_44,qwen3.6-27b/live,dima,1
question_44,qwen3.6-27b/rag,dima,5
question_44,gpt-5.5/live,dima,4
question_36,qwen3.6-35b/live,dima,1
question_36,qwen3.6-27b/live,dima,1
question_36,gpt-5.5/live,dima,1
question_36,qwen3.6-27b/rag,dima,3
question_36,qwen3.6-27b/no-tools,dima,2
question_14,qwen3.6-27b/no-tools,dima,3
question_14,qwen3.6-27b/rag,dima,2
question_14,qwen3.6-35b/live,dima,3
question_14,gpt-5.5/live,dima,1
question_14,qwen3.6-27b/live,dima,3
question_31,qwen3.6-27b/rag,dima,4
question_31,gpt-5.5/live,dima,3
question_31,qwen3.6-27b/live,dima,1
question_31,qwen3.6-27b/no-tools,dima,2
question_31,qwen3.6-35b/live,dima,1
question_21,qwen3.6-27b/no-tools,dima,2
question_21,qwen3.6-27b/live,dima,3
question_21,qwen3.6-35b/live,dima,3
question_21,gpt-5.5/live,dima,1
question_21,qwen3.6-27b/rag,dima,4
question_10,qwen3.6-27b/rag,dima,3
question_10,qwen3.6-27b/no-tools,dima,1
question_10,gpt-5.5/live,dima,1
question_10,qwen3.6-35b/live,dima,1
question_10,qwen3.6-27b/live,dima,2
question_24,qwen3.6-35b/live,dima,1
question_24,qwen3.6-27b/no-tools,dima,1
question_24,qwen3.6-27b/rag,dima,2
question_24,gpt-5.5/live,dima,1
question_24,qwen3.6-27b/live,dima,1
question_45,gpt-5.5/live,dima,1
question_45,qwen3.6-35b/live,dima,1
question_45,qwen3.6-27b/rag,dima,1
question_45,qwen3.6-27b/no-tools,dima,1
question_45,qwen3.6-27b/live,dima,1
question_2,qwen3.6-27b/live,dima,2
question_2,qwen3.6-35b/live,dima,1
question_2,qwen3.6-27b/no-tools,dima,1
question_2,gpt-5.5/live,dima,1
question_2,qwen3.6-27b/rag,dima,3
question_15,qwen3.6-27b/live,dima,1
question_15,gpt-5.5/live,dima,1
question_15,qwen3.6-27b/no-tools,dima,1
question_15,qwen3.6-35b/live,dima,1
question_15,qwen3.6-27b/rag,dima,1
question_16,qwen3.6-27b/no-tools,dima,1
question_16,qwen3.6-27b/rag,dima,4
question_16,qwen3.6-35b/live,dima,3
question_16,qwen3.6-27b/live,dima,1
question_16,gpt-5.5/live,dima,2
question_9,qwen3.6-27b/live,dima,3
question_9,qwen3.6-35b/live,dima,2
question_9,qwen3.6-27b/no-tools,dima,3
question_9,gpt-5.5/live,dima,1
question_9,qwen3.6-27b/rag,dima,4
question_20,qwen3.6-27b/live,dima,2
question_20,gpt-5.5/live,dima,2
question_20,qwen3.6-35b/live,dima,1
question_20,qwen3.6-27b/no-tools,dima,4
question_20,qwen3.6-27b/rag,dima,3
question_30,qwen3.6-35b/live,dima,1
question_30,qwen3.6-27b/rag,dima,1
question_30,gpt-5.5/live,dima,1
question_30,qwen3.6-27b/live,dima,1
question_30,qwen3.6-27b/no-tools,dima,1
question_47,qwen3.6-27b/no-tools,dima,2
question_47,qwen3.6-27b/rag,dima,3
question_47,gpt-5.5/live,dima,1
question_47,qwen3.6-35b/live,dima,2
question_47,qwen3.6-27b/live,dima,4
question_28,qwen3.6-35b/live,dima,1
question_28,qwen3.6-27b/rag,dima,2
question_28,qwen3.6-27b/no-tools,dima,1
question_28,gpt-5.5/live,dima,1
question_28,qwen3.6-27b/live,dima,1
question_19,gpt-5.5/live,dima,3
question_19,qwen3.6-27b/no-tools,dima,1
question_19,qwen3.6-27b/live,dima,1
question_19,qwen3.6-27b/rag,dima,4
question_19,qwen3.6-35b/live,dima,2
question_1,qwen3.6-27b/live,dima,1
question_1,qwen3.6-27b/rag,dima,2
question_1,gpt-5.5/live,dima,2
question_1,qwen3.6-35b/live,dima,2
question_1,qwen3.6-27b/no-tools,dima,1
question_41,qwen3.6-27b/no-tools,dima,1
question_41,qwen3.6-27b/rag,dima,3
question_41,gpt-5.5/live,dima,2
question_41,qwen3.6-35b/live,dima,1
question_41,qwen3.6-27b/live,dima,2
question_50,qwen3.6-27b/live,dima,1
question_50,qwen3.6-27b/no-tools,dima,1
question_50,qwen3.6-35b/live,dima,1
question_50,gpt-5.5/live,dima,1
question_50,qwen3.6-27b/rag,dima,2
question_34,qwen3.6-27b/rag,dima,1
question_34,gpt-5.5/live,dima,1
question_34,qwen3.6-27b/live,dima,1
question_34,qwen3.6-35b/live,dima,1
question_34,qwen3.6-27b/no-tools,dima,1
question_22,qwen3.6-27b/rag,dima,4
question_22,qwen3.6-27b/live,dima,2
question_22,gpt-5.5/live,dima,1
question_22,qwen3.6-27b/no-tools,dima,3
question_22,qwen3.6-35b/live,dima,2
question_18,gpt-5.5/live,dima,1
question_18,qwen3.6-35b/live,dima,1
question_18,qwen3.6-27b/no-tools,dima,1
question_18,qwen3.6-27b/live,dima,1
question_18,qwen3.6-27b/rag,dima,2
question_27,qwen3.6-27b/live,dima,1
question_27,gpt-5.5/live,dima,1
question_27,qwen3.6-27b/rag,dima,1
question_27,qwen3.6-35b/live,dima,1
question_27,qwen3.6-27b/no-tools,dima,1
question_36,qwen3.6-35b/live,hasan,3
question_36,qwen3.6-27b/live,hasan,3
question_36,gpt-5.5/live,hasan,1
question_36,qwen3.6-27b/rag,hasan,3
question_36,qwen3.6-27b/no-tools,hasan,2
question_27,qwen3.6-27b/live,hasan,2
question_27,gpt-5.5/live,hasan,1
question_27,qwen3.6-27b/rag,hasan,3
question_27,qwen3.6-35b/live,hasan,2
question_27,qwen3.6-27b/no-tools,hasan,2
question_44,qwen3.6-35b/live,hasan,3
question_44,qwen3.6-27b/no-tools,hasan,2
question_44,qwen3.6-27b/live,hasan,4
question_44,qwen3.6-27b/rag,hasan,5
question_44,gpt-5.5/live,hasan,1
question_31,qwen3.6-27b/rag,hasan,5
question_31,gpt-5.5/live,hasan,4
question_31,qwen3.6-27b/live,hasan,1
question_31,qwen3.6-27b/no-tools,hasan,1
question_31,qwen3.6-35b/live,hasan,1
question_43,qwen3.6-35b/live,hasan,1
question_43,qwen3.6-27b/live,hasan,1
question_43,qwen3.6-27b/no-tools,hasan,1
question_43,gpt-5.5/live,hasan,1
question_43,qwen3.6-27b/rag,hasan,1
question_16,qwen3.6-27b/no-tools,hasan,2
question_16,qwen3.6-27b/rag,hasan,4
question_16,qwen3.6-35b/live,hasan,3
question_16,qwen3.6-27b/live,hasan,2
question_16,gpt-5.5/live,hasan,1
question_17,gpt-5.5/live,dima,2
question_17,qwen3.6-27b/live,dima,1
question_17,qwen3.6-35b/live,dima,2
question_17,qwen3.6-27b/no-tools,dima,2
question_17,qwen3.6-27b/rag,dima,3
question_52,qwen3.6-27b/rag,dima,1
question_52,gpt-5.5/live,dima,1
question_52,qwen3.6-27b/live,dima,1
question_52,qwen3.6-27b/no-tools,dima,1
question_52,qwen3.6-35b/live,dima,1
question_23,qwen3.6-27b/rag,dima,1
question_23,gpt-5.5/live,dima,1
question_23,qwen3.6-27b/live,dima,1
question_23,qwen3.6-27b/no-tools,dima,1
question_23,qwen3.6-35b/live,dima,1
question_40,qwen3.6-35b/live,dima,1
question_40,qwen3.6-27b/rag,dima,1
question_40,qwen3.6-27b/live,dima,1
question_40,gpt-5.5/live,dima,1
question_40,qwen3.6-27b/no-tools,dima,1
question_30,qwen3.6-35b/live,hasan,2
question_30,qwen3.6-27b/rag,hasan,1
question_30,gpt-5.5/live,hasan,2
question_30,qwen3.6-27b/live,hasan,2
question_30,qwen3.6-27b/no-tools,hasan,2
question_51,qwen3.6-27b/rag,dima,3
question_51,qwen3.6-35b/live,dima,2
question_51,qwen3.6-27b/live,dima,2
question_51,qwen3.6-27b/no-tools,dima,2
question_51,gpt-5.5/live,dima,1
question_25,qwen3.6-27b/no-tools,dima,2
question_25,qwen3.6-27b/live,dima,2
question_25,qwen3.6-35b/live,dima,2
question_25,qwen3.6-27b/rag,dima,3
question_25,gpt-5.5/live,dima,1
question_46,qwen3.6-27b/rag,dima,2
question_46,gpt-5.5/live,dima,1
question_46,qwen3.6-27b/no-tools,dima,1
question_46,qwen3.6-35b/live,dima,1
question_46,qwen3.6-27b/live,dima,1
question_47,qwen3.6-27b/no-tools,hasan,3
question_47,qwen3.6-27b/rag,hasan,4
question_47,gpt-5.5/live,hasan,1
question_47,qwen3.6-35b/live,hasan,2
question_47,qwen3.6-27b/live,hasan,5
question_25,qwen3.6-27b/no-tools,hasan,2
question_25,qwen3.6-27b/live,hasan,1
question_25,qwen3.6-35b/live,hasan,2
question_25,qwen3.6-27b/rag,hasan,3
question_25,gpt-5.5/live,hasan,1
question_33,qwen3.6-27b/no-tools,hasan,1
question_33,qwen3.6-35b/live,hasan,3
question_33,qwen3.6-27b/live,hasan,3
question_33,qwen3.6-27b/rag,hasan,3
question_33,gpt-5.5/live,hasan,1
