question_id,config,judge,dim,score
question_46,bare-llm_gemma4-26b,glm-5.1,relevance,3
question_46,bare-llm_gemma4-26b,glm-5.1,completeness,2
question_46,bare-llm_gemma4-26b,glm-5.1,specificity,2
question_46,bare-llm_gemma4-26b,glm-5.1,helpfulness,2
question_1,bare-llm_gemma4-26b,glm-5.1,relevance,5
question_1,bare-llm_gemma4-26b,glm-5.1,completeness,4
question_1,bare-llm_gemma4-26b,glm-5.1,specificity,3
question_1,bare-llm_gemma4-26b,glm-5.1,helpfulness,4
question_23,bare-llm_gemma4-26b,glm-5.1,relevance,2
question_23,bare-llm_gemma4-26b,glm-5.1,completeness,2
question_23,bare-llm_gemma4-26b,glm-5.1,specificity,2
question_23,bare-llm_gemma4-26b,glm-5.1,helpfulness,2
question_39,bare-llm_gemma4-26b,glm-5.1,relevance,1
question_39,bare-llm_gemma4-26b,glm-5.1,completeness,1
question_39,bare-llm_gemma4-26b,glm-5.1,specificity,1
question_39,bare-llm_gemma4-26b,glm-5.1,helpfulness,1
question_24,bare-llm_gemma4-26b,glm-5.1,relevance,1
question_24,bare-llm_gemma4-26b,glm-5.1,completeness,1
question_24,bare-llm_gemma4-26b,glm-5.1,specificity,1
question_24,bare-llm_gemma4-26b,glm-5.1,helpfulness,1
question_25,bare-llm_gemma4-26b,glm-5.1,relevance,2
question_25,bare-llm_gemma4-26b,glm-5.1,completeness,2
question_25,bare-llm_gemma4-26b,glm-5.1,specificity,3
question_25,bare-llm_gemma4-26b,glm-5.1,helpfulness,1
question_26,bare-llm_gemma4-26b,glm-5.1,relevance,2
question_26,bare-llm_gemma4-26b,glm-5.1,completeness,1
question_26,bare-llm_gemma4-26b,glm-5.1,specificity,2
question_26,bare-llm_gemma4-26b,glm-5.1,helpfulness,1
question_47,bare-llm_gemma4-26b,glm-5.1,relevance,4
question_47,bare-llm_gemma4-26b,glm-5.1,completeness,2
question_47,bare-llm_gemma4-26b,glm-5.1,specificity,2
question_47,bare-llm_gemma4-26b,glm-5.1,helpfulness,2
question_40,bare-llm_gemma4-26b,glm-5.1,relevance,2
question_40,bare-llm_gemma4-26b,glm-5.1,completeness,1
question_40,bare-llm_gemma4-26b,glm-5.1,specificity,1
question_40,bare-llm_gemma4-26b,glm-5.1,helpfulness,1
question_27,bare-llm_gemma4-26b,glm-5.1,relevance,2
question_27,bare-llm_gemma4-26b,glm-5.1,completeness,1
question_27,bare-llm_gemma4-26b,glm-5.1,specificity,1
question_27,bare-llm_gemma4-26b,glm-5.1,helpfulness,2
question_48,bare-llm_gemma4-26b,glm-5.1,relevance,4
question_48,bare-llm_gemma4-26b,glm-5.1,completeness,2
question_48,bare-llm_gemma4-26b,glm-5.1,specificity,2
question_48,bare-llm_gemma4-26b,glm-5.1,helpfulness,2
question_41,bare-llm_gemma4-26b,glm-5.1,relevance,1
question_41,bare-llm_gemma4-26b,glm-5.1,completeness,1
question_41,bare-llm_gemma4-26b,glm-5.1,specificity,1
question_41,bare-llm_gemma4-26b,glm-5.1,helpfulness,1
question_42,bare-llm_gemma4-26b,glm-5.1,relevance,2
question_42,bare-llm_gemma4-26b,glm-5.1,completeness,1
question_42,bare-llm_gemma4-26b,glm-5.1,specificity,2
question_42,bare-llm_gemma4-26b,glm-5.1,helpfulness,1
question_4,bare-llm_gemma4-26b,glm-5.1,relevance,2
question_4,bare-llm_gemma4-26b,glm-5.1,completeness,1
question_4,bare-llm_gemma4-26b,glm-5.1,specificity,1
question_4,bare-llm_gemma4-26b,glm-5.1,helpfulness,2
question_6,bare-llm_gemma4-26b,glm-5.1,relevance,3
question_6,bare-llm_gemma4-26b,glm-5.1,completeness,2
question_6,bare-llm_gemma4-26b,glm-5.1,specificity,2
question_6,bare-llm_gemma4-26b,glm-5.1,helpfulness,2
question_7,bare-llm_gemma4-26b,glm-5.1,relevance,4
question_7,bare-llm_gemma4-26b,glm-5.1,completeness,5
question_7,bare-llm_gemma4-26b,glm-5.1,specificity,2
question_7,bare-llm_gemma4-26b,glm-5.1,helpfulness,2
question_5,bare-llm_gemma4-26b,glm-5.1,relevance,5
question_5,bare-llm_gemma4-26b,glm-5.1,completeness,3
question_5,bare-llm_gemma4-26b,glm-5.1,specificity,3
question_5,bare-llm_gemma4-26b,glm-5.1,helpfulness,3
question_8,bare-llm_gemma4-26b,glm-5.1,relevance,4
question_8,bare-llm_gemma4-26b,glm-5.1,completeness,2
