question_id,question_text
question_1,"We got 50513 exit code in production workflows. This is the error message. It's failing at multiple sites. How to approach it?

SCRAMScriptFailure (Exit code: 50513)
SCRAM scripts failed to run!
<@========== WMException Start ==========@>
Exception Class: PreScriptFailure
Message: Error running command
export LD_LIBRARY_PATH=$LD_LIBRARY_PATH
/cvmfs/cms.cern.ch/cc8_amd64_gcc9/external/python3/3.8.2-555576dae8d03b340ea3079ddb8abb0d/bin/python3 -m WMCore.WMRuntime.ScriptInvoke WMTaskSpace.cmsRun2 SetupCMSSWPset

1
2026-02-16 23:33:52,909:INFO:ScriptInvoke:Invoking scripts in current directory: /srv/job/WMTaskSpace/cmsRun2
2026-02-16 23:33:52,916:INFO:Bootstrap:Job Index = 519944
Job Instance = {'input_files': [{'lfn': 'MCFakeFile-cmsunified_task_JME-Run3Winter26GS-00005__v1_T_260210_020550_6063-JME-Run3Winter26GS-00005_0-3498f6bb5f44b60b137422468cc61063', 'size': 0, 'events': 1000000, 'checksums': {}, 'runs': set(), 'merged': True, 'last_event': 0, 'first_event': 0, 'locations': set(), 'parents': set()}], 'id': 519944, 'jobgroup': 33360, 'name': '32f57a44-0d9e-4356-a1e0-8c70491555dd-1002', 'state': 'new', 'state_time': 1771215551, 'outcome': 'failure', 'retry_count': 3, 'location': None, 'mask': {'inclusivemask': True, 'FirstEvent': 28244001, 'LastEvent': 28245000, 'FirstLumi': 28001, 'LastLumi': 28001, 'FirstRun': 1, 'LastRun': 1, 'runAndLumis': {}, 'jobID': 519944}, 'task': '/cmsunified_ACDC0_task_JME-Run3Winter26GS-00005__v1_T_260216_031948_3447/JME-Run3Winter26GS-00005_0', 'fwjr': None, 'fwjr_path': None, 'workflow': 'cmsunified_ACDC0_task_JME-Run3Winter26GS-00005__v1_T_260216_031948_3447', 'owner': 'cmsunified', 'estimatedJobTime': 43200, 'estimatedMemoryUsage': 16000.0, 'estimatedDiskUsage': 3000000, 'cache_dir': '/data/srv/wmagent/2.4.5/install/JobCreator/JobCache/cmsunified_ACDC0_task_JME-Run3Winter26GS-00005__v1_T_260216_031948_3447/JME-Run3Winter26GS-00005_0/JobCollection_33360_1/job_519944', 'sandbox': '/data/srv/wmagent/2.4.5/install/WorkQueueManager/cache/cmsunified_ACDC0_task_JME-Run3Winter26GS-00005__v1_T_260216_031948_3447/cmsunified_ACDC0_task_JME-Run3Winter26GS-00005__v1_T_260216_031948_3447-Sandbox.tar.bz2', 'jobType': 'Production', 'taskType': 'reprocessing', 'counter': 10001003, 'spec': '/data/srv/wmagent/2.4.5/install/WorkQueueManager/cache/cmsunified_ACDC0_task_JME-Run3Winter26GS-00005__v1_T_260216_031948_3447/WMSandbox/WMWorkload.pkl', 'agentNumber': 282, 'agentName': 'vocms0282.cern.ch', 'ownerDN': '/DC=ch/DC=cern/OU=Organic Units/OU=Users/CN=cmsunified/CN=658085/CN=Robot: CMS Unified account', 'ownerGroup': 'unknown', 'ownerRole': 'unknown', 'numberOfCores': 8, 'allowOpportunistic': False, 'requiresGPU': 'forbidden', 'jobExtraMatchRequirements': '', 'requestType': 'StepChain', 'physicsTaskType': 'GEN,SIM,DIGI_classicalmix,RECO,MINIAOD,NANOAOD', 'campaignName': 'Run3Winter26GS,Run3Winter26Digi,Run3Winter26Reco,Run3Winter26MiniAODv6,Run3Winter26NanoAODv15'}

2026-02-16 23:33:52,951:INFO:SetupCMSSWPset:Executing SetupCMSSWPSet...
2026-02-16 23:33:52,951:INFO:SetupCMSSWPset:Creating Scram environment with scram arch: el8_amd64_gcc12 and CMSSW version: CMSSW_15_0_18
2026-02-16 23:34:01,282:INFO:SetupCMSSWPset:DEBUG: Now in the none scenario to load PSET
2026-02-16 23:34:01,282:INFO:SetupCMSSWPset:Working dir: /srv/job/WMTaskSpace/cmsRun2
2026-02-16 23:34:01,282:INFO:SetupCMSSWPset:ScramRun command args: edm_pset_pickler.py --input /srv/job/WMTaskSpace/cmsRun2/PSet.py --output_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl
2026-02-16 23:34:01,282:INFO:Scram:Creating a subprocess to run the PSet setup.
2026-02-16 23:34:01,282:INFO:Scram:Also recording SCRAM command-line related output.
2026-02-16 23:34:01,295:INFO:Scram: Invoking command: edm_pset_pickler.py --input /srv/job/WMTaskSpace/cmsRun2/PSet.py --output_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl
2026-02-16 23:34:09,224:INFO:Scram:Subprocess stdout was:

2026-02-16 23:34:09,224:INFO:Scram:Subprocess stderr was:
None
2026-02-16 23:34:10,003:INFO:SetupCMSSWPset:ScramRun command args: cmssw_handle_condor_status_service.py --input_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --output_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --name cmsRun2
2026-02-16 23:34:10,004:INFO:Scram:Creating a subprocess to run the PSet setup.
2026-02-16 23:34:10,004:INFO:Scram:Also recording SCRAM command-line related output.
2026-02-16 23:34:10,019:INFO:Scram: Invoking command: cmssw_handle_condor_status_service.py --input_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --output_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --name cmsRun2
2026-02-16 23:34:12,628:INFO:Scram:Subprocess stdout was:
Added CondorStatusService

2026-02-16 23:34:12,628:INFO:Scram:Subprocess stderr was:
None
2026-02-16 23:34:12,628:INFO:SetupCMSSWPset:DEBUG output module = RAWSIMoutput
2026-02-16 23:34:12,630:INFO:SetupCMSSWPset:ScramRun command args: edm_pset_tweak.py --input_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --output_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --json /srv/job/WMTaskSpace/cmsRun2/PSetTweak.json --skip_if_set
2026-02-16 23:34:12,631:INFO:Scram:Creating a subprocess to run the PSet setup.
2026-02-16 23:34:12,631:INFO:Scram:Also recording SCRAM command-line related output.
2026-02-16 23:34:12,645:INFO:Scram: Invoking command: edm_pset_tweak.py --input_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --output_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --json /srv/job/WMTaskSpace/cmsRun2/PSetTweak.json --skip_if_set
2026-02-16 23:34:15,229:INFO:Scram:Subprocess stdout was:
Attribute already set process.options. Not changing
Attribute already set process.RAWSIMoutput.dataset. Not changing

2026-02-16 23:34:15,229:INFO:Scram:Subprocess stderr was:
None
2026-02-16 23:34:15,230:INFO:SetupCMSSWPset:ScramRun command args: edm_pset_tweak.py --input_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --output_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --json /srv/job/WMTaskSpace/cmsRun2/PSetTweak.json --skip_if_set
2026-02-16 23:34:15,230:INFO:Scram:Creating a subprocess to run the PSet setup.
2026-02-16 23:34:15,230:INFO:Scram:Also recording SCRAM command-line related output.
2026-02-16 23:34:15,246:INFO:Scram: Invoking command: edm_pset_tweak.py --input_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --output_pkl /srv/job/WMTaskSpace/cmsRun2/PSet.pkl --json /srv/job/WMTaskSpace/cmsRun2/PSetTweak.json --skip_if_set
2026-02-16 23:34:17,481:INFO:Scram:Subprocess stdout was:
Attribute already set process.RAWSIMoutput.fileName. Not changing
Set attribute process.RAWSIMoutput.logicalFileName to cms.untracked.string('')"
question_2,I am a Tier-0 operator. I made a mistake and I need to reprocess a 5 runs. The streamer files are still avaible; how do I proceed with this?
question_3,A CMS user needs to extend his user quota at my site (T2_CN_Beijing) in Rucio. Actually I don't know how to do this. Is there any wiki or application webpage I could follow?
question_4,Check CMSPROD-368 ticket. Help to understand who and how sets MergedLFNBase correctly
question_5,Look at https://its.cern.ch/jira/browse/CMSTRANSF-1316 and give me the rucio command to do these operations
question_6,Make a summary of the most relevant activity in the CMSDM and CMSTRANSF for last year 2025.
question_7,"what does if PhEDExNodeName in blockDict[""PhEDExNodeNames""] or useAAA: do in https://github.com/dmwm/WMCore"
question_8,is there any ticket open about the decommissioning of Russian T2s?
question_9,What are the most repeated topics in the CMSTRANSF tickets starting from CMSTRANSF-1059 until CMSTRANSF-1400?
question_10,How do I create a new Tier0 release
question_11,How can I deploy tier 0 replay?
question_12,"How to create rules using local account quota. I'm interested in T2_CH_CERN, which keep identities of user in t2_ch_cern_local_users"
