question_id,config,grader,dim,score
question_8,qwen3.6-27b/rag,dima,correctness,5
question_8,qwen3.6-27b/rag,dima,usefulness,5
question_8,qwen3.6-27b/no-tools,dima,correctness,5
question_8,qwen3.6-27b/no-tools,dima,usefulness,4
question_8,qwen3.6-35b/live,dima,correctness,5
question_8,qwen3.6-35b/live,dima,usefulness,4
question_8,qwen3.6-27b/live,dima,correctness,5
question_8,qwen3.6-27b/live,dima,usefulness,5
question_8,gpt-5.5/live,dima,correctness,5
question_8,gpt-5.5/live,dima,usefulness,5
question_38,qwen3.6-35b/live,dima,correctness,5
question_38,qwen3.6-35b/live,dima,usefulness,5
question_38,gpt-5.5/live,dima,correctness,3
question_38,gpt-5.5/live,dima,usefulness,3
question_38,qwen3.6-27b/live,dima,correctness,2
question_38,qwen3.6-27b/live,dima,usefulness,3
question_38,qwen3.6-27b/no-tools,dima,correctness,5
question_38,qwen3.6-27b/no-tools,dima,usefulness,5
question_38,qwen3.6-27b/rag,dima,correctness,1
question_38,qwen3.6-27b/rag,dima,usefulness,1
question_39,qwen3.6-27b/live,dima,correctness,3
question_39,qwen3.6-27b/live,dima,usefulness,4
question_39,gpt-5.5/live,dima,correctness,5
question_39,gpt-5.5/live,dima,usefulness,5
question_39,qwen3.6-27b/no-tools,dima,correctness,5
question_39,qwen3.6-27b/no-tools,dima,usefulness,5
question_39,qwen3.6-35b/live,dima,correctness,2
question_39,qwen3.6-35b/live,dima,usefulness,2
question_39,qwen3.6-27b/rag,dima,correctness,1
question_39,qwen3.6-27b/rag,dima,usefulness,1
question_43,qwen3.6-35b/live,dima,correctness,5
question_43,qwen3.6-35b/live,dima,usefulness,5
question_43,qwen3.6-27b/live,dima,correctness,5
question_43,qwen3.6-27b/live,dima,usefulness,5
question_43,qwen3.6-27b/no-tools,dima,correctness,5
question_43,qwen3.6-27b/no-tools,dima,usefulness,5
question_43,gpt-5.5/live,dima,correctness,5
question_43,gpt-5.5/live,dima,usefulness,5
question_43,qwen3.6-27b/rag,dima,correctness,5
question_43,qwen3.6-27b/rag,dima,usefulness,4
question_3,qwen3.6-27b/live,dima,correctness,3
question_3,qwen3.6-27b/live,dima,usefulness,3
question_3,qwen3.6-35b/live,dima,correctness,4
question_3,qwen3.6-35b/live,dima,usefulness,4
question_3,qwen3.6-27b/no-tools,dima,correctness,5
question_3,qwen3.6-27b/no-tools,dima,usefulness,4
question_3,gpt-5.5/live,dima,correctness,5
question_3,gpt-5.5/live,dima,usefulness,5
question_3,qwen3.6-27b/rag,dima,correctness,4
question_3,qwen3.6-27b/rag,dima,usefulness,4
question_32,qwen3.6-27b/rag,dima,correctness,1
question_32,qwen3.6-27b/rag,dima,usefulness,1
question_32,qwen3.6-27b/live,dima,correctness,5
question_32,qwen3.6-27b/live,dima,usefulness,5
question_32,qwen3.6-27b/no-tools,dima,correctness,1
question_32,qwen3.6-27b/no-tools,dima,usefulness,1
question_32,gpt-5.5/live,dima,correctness,3
question_32,gpt-5.5/live,dima,usefulness,3
question_32,qwen3.6-35b/live,dima,correctness,1
question_32,qwen3.6-35b/live,dima,usefulness,1
question_49,qwen3.6-27b/no-tools,dima,correctness,5
question_49,qwen3.6-27b/no-tools,dima,usefulness,5
question_49,qwen3.6-27b/live,dima,correctness,5
question_49,qwen3.6-27b/live,dima,usefulness,5
question_49,qwen3.6-35b/live,dima,correctness,5
question_49,qwen3.6-35b/live,dima,usefulness,5
question_49,gpt-5.5/live,dima,correctness,5
question_49,gpt-5.5/live,dima,usefulness,5
question_49,qwen3.6-27b/rag,dima,correctness,5
question_49,qwen3.6-27b/rag,dima,usefulness,4
question_42,gpt-5.5/live,dima,correctness,5
question_42,gpt-5.5/live,dima,usefulness,5
question_42,qwen3.6-27b/no-tools,dima,correctness,5
question_42,qwen3.6-27b/no-tools,dima,usefulness,4
question_42,qwen3.6-27b/rag,dima,correctness,1
question_42,qwen3.6-27b/rag,dima,usefulness,1
question_42,qwen3.6-27b/live,dima,correctness,4
question_42,qwen3.6-27b/live,dima,usefulness,4
question_42,qwen3.6-35b/live,dima,correctness,1
question_42,qwen3.6-35b/live,dima,usefulness,1
question_37,qwen3.6-27b/no-tools,dima,correctness,5
question_37,qwen3.6-27b/no-tools,dima,usefulness,5
question_37,qwen3.6-27b/rag,dima,correctness,1
question_37,qwen3.6-27b/rag,dima,usefulness,1
question_37,qwen3.6-35b/live,dima,correctness,5
question_37,qwen3.6-35b/live,dima,usefulness,5
question_37,qwen3.6-27b/live,dima,correctness,5
question_37,qwen3.6-27b/live,dima,usefulness,5
question_37,gpt-5.5/live,dima,correctness,5
question_37,gpt-5.5/live,dima,usefulness,5
question_6,qwen3.6-27b/no-tools,dima,correctness,5
question_6,qwen3.6-27b/no-tools,dima,usefulness,4
question_6,qwen3.6-27b/live,dima,correctness,1
question_6,qwen3.6-27b/live,dima,usefulness,1
question_6,qwen3.6-27b/rag,dima,correctness,1
question_6,qwen3.6-27b/rag,dima,usefulness,1
question_6,qwen3.6-35b/live,dima,correctness,1
question_6,qwen3.6-35b/live,dima,usefulness,1
question_6,gpt-5.5/live,dima,correctness,5
question_6,gpt-5.5/live,dima,usefulness,5
question_26,qwen3.6-35b/live,dima,correctness,3
question_26,qwen3.6-35b/live,dima,usefulness,3
question_26,qwen3.6-27b/rag,dima,correctness,3
question_26,qwen3.6-27b/rag,dima,usefulness,3
question_26,qwen3.6-27b/no-tools,dima,correctness,3
question_26,qwen3.6-27b/no-tools,dima,usefulness,3
question_26,qwen3.6-27b/live,dima,correctness,4
question_26,qwen3.6-27b/live,dima,usefulness,4
question_26,gpt-5.5/live,dima,correctness,3
question_26,gpt-5.5/live,dima,usefulness,3
question_35,qwen3.6-35b/live,dima,correctness,5
question_35,qwen3.6-35b/live,dima,usefulness,5
question_35,qwen3.6-27b/rag,dima,correctness,5
question_35,qwen3.6-27b/rag,dima,usefulness,5
question_35,qwen3.6-27b/no-tools,dima,correctness,5
question_35,qwen3.6-27b/no-tools,dima,usefulness,5
question_35,gpt-5.5/live,dima,correctness,5
question_35,gpt-5.5/live,dima,usefulness,5
question_35,qwen3.6-27b/live,dima,correctness,5
question_35,qwen3.6-27b/live,dima,usefulness,5
question_53,gpt-5.5/live,dima,correctness,5
question_53,gpt-5.5/live,dima,usefulness,5
question_53,qwen3.6-27b/live,dima,correctness,5
question_53,qwen3.6-27b/live,dima,usefulness,5
question_53,qwen3.6-27b/no-tools,dima,correctness,1
question_53,qwen3.6-27b/no-tools,dima,usefulness,1
question_53,qwen3.6-35b/live,dima,correctness,5
question_53,qwen3.6-35b/live,dima,usefulness,5
question_53,qwen3.6-27b/rag,dima,correctness,5
question_53,qwen3.6-27b/rag,dima,usefulness,5
question_29,gpt-5.5/live,dima,correctness,5
question_29,gpt-5.5/live,dima,usefulness,5
question_29,qwen3.6-27b/live,dima,correctness,5
question_29,qwen3.6-27b/live,dima,usefulness,5
question_29,qwen3.6-35b/live,dima,correctness,5
question_29,qwen3.6-35b/live,dima,usefulness,5
question_29,qwen3.6-27b/no-tools,dima,correctness,5
question_29,qwen3.6-27b/no-tools,dima,usefulness,5
question_29,qwen3.6-27b/rag,dima,correctness,3
question_29,qwen3.6-27b/rag,dima,usefulness,3
question_12,qwen3.6-35b/live,dima,correctness,3
question_12,qwen3.6-35b/live,dima,usefulness,4
question_12,qwen3.6-27b/rag,dima,correctness,3
question_12,qwen3.6-27b/rag,dima,usefulness,3
question_12,gpt-5.5/live,dima,correctness,5
question_12,gpt-5.5/live,dima,usefulness,5
question_12,qwen3.6-27b/live,dima,correctness,5
question_12,qwen3.6-27b/live,dima,usefulness,4
question_12,qwen3.6-27b/no-tools,dima,correctness,3
question_12,qwen3.6-27b/no-tools,dima,usefulness,4
question_33,qwen3.6-27b/no-tools,dima,correctness,4
question_33,qwen3.6-27b/no-tools,dima,usefulness,3
question_33,qwen3.6-35b/live,dima,correctness,3
question_33,qwen3.6-35b/live,dima,usefulness,3
question_33,qwen3.6-27b/live,dima,correctness,3
question_33,qwen3.6-27b/live,dima,usefulness,3
question_33,qwen3.6-27b/rag,dima,correctness,3
question_33,qwen3.6-27b/rag,dima,usefulness,3
question_33,gpt-5.5/live,dima,correctness,4
question_33,gpt-5.5/live,dima,usefulness,4
question_44,qwen3.6-35b/live,dima,correctness,4
question_44,qwen3.6-35b/live,dima,usefulness,4
question_44,qwen3.6-27b/no-tools,dima,correctness,5
question_44,qwen3.6-27b/no-tools,dima,usefulness,5
question_44,qwen3.6-27b/live,dima,correctness,5
question_44,qwen3.6-27b/live,dima,usefulness,4
question_44,qwen3.6-27b/rag,dima,correctness,1
question_44,qwen3.6-27b/rag,dima,usefulness,1
question_44,gpt-5.5/live,dima,correctness,4
question_44,gpt-5.5/live,dima,usefulness,3
question_36,qwen3.6-35b/live,dima,correctness,5
question_36,qwen3.6-35b/live,dima,usefulness,5
question_36,qwen3.6-27b/live,dima,correctness,5
question_36,qwen3.6-27b/live,dima,usefulness,5
question_36,gpt-5.5/live,dima,correctness,5
question_36,gpt-5.5/live,dima,usefulness,5
question_36,qwen3.6-27b/rag,dima,correctness,5
question_36,qwen3.6-27b/rag,dima,usefulness,3
question_36,qwen3.6-27b/no-tools,dima,correctness,5
question_36,qwen3.6-27b/no-tools,dima,usefulness,4
question_14,qwen3.6-27b/no-tools,dima,correctness,1
question_14,qwen3.6-27b/no-tools,dima,usefulness,1
question_14,qwen3.6-27b/rag,dima,correctness,2
question_14,qwen3.6-27b/rag,dima,usefulness,2
question_14,qwen3.6-35b/live,dima,correctness,1
question_14,qwen3.6-35b/live,dima,usefulness,1
question_14,gpt-5.5/live,dima,correctness,5
question_14,gpt-5.5/live,dima,usefulness,5
question_14,qwen3.6-27b/live,dima,correctness,1
question_14,qwen3.6-27b/live,dima,usefulness,1
question_31,qwen3.6-27b/rag,dima,correctness,2
question_31,qwen3.6-27b/rag,dima,usefulness,2
question_31,gpt-5.5/live,dima,correctness,3
question_31,gpt-5.5/live,dima,usefulness,3
question_31,qwen3.6-27b/live,dima,correctness,4
question_31,qwen3.6-27b/live,dima,usefulness,4
question_31,qwen3.6-27b/no-tools,dima,correctness,3
question_31,qwen3.6-27b/no-tools,dima,usefulness,4
question_31,qwen3.6-35b/live,dima,correctness,4
question_31,qwen3.6-35b/live,dima,usefulness,4
question_21,qwen3.6-27b/no-tools,dima,correctness,5
question_21,qwen3.6-27b/no-tools,dima,usefulness,5
question_21,qwen3.6-27b/live,dima,correctness,5
question_21,qwen3.6-27b/live,dima,usefulness,5
question_21,qwen3.6-35b/live,dima,correctness,5
question_21,qwen3.6-35b/live,dima,usefulness,5
question_21,gpt-5.5/live,dima,correctness,5
