tier,config,model_used,pipeline_used,n_questions,n_judges,core4_mean,core4_std,src_faith_mean,time_mean_s,tools_mean,sources_mean,human_correctness_mean,human_usefulness_mean,human_rank_mean,n_human_responses
old,bare-llm_gemma4-26b,,,53,1,2.28,1.196,,20.30,0.00,0.00,,,,0
old,benchmarking-gemma4-off-bare-llm-20260416_105737,gemma4:26b,BareLLMPipeline,53,1,2.29,1.115,,9.24,0.00,0.00,,,,0
old,benchmarking-gemma4-off-multi-20260416_101751,gemma4:26b,,51,1,3.93,1.105,3.49,19.41,1.81,4.87,,,,0
old,benchmarking-gemma4-on-opt-rerun-20260416_053838,,,53,1,3.87,1.173,3.63,29.04,2.55,5.53,,,,0
old,benchmarking-gemma4-think-on-bare-llm-20260415_080352,gemma4:26b,BareLLMPipeline,52,1,2.50,1.263,,20.85,0.00,0.00,,,,0
old,benchmarking-gemma4-think-on-no-tools-20260415_170848,gemma4:26b,,52,1,3.84,1.069,3.45,13.58,1.60,5.38,,,,0
old,benchmarking-gemma4-think-on-optimized-20260415_195013,gemma4:26b,,53,1,3.71,1.076,3.25,19.08,2.62,9.42,,,,0
old,benchmarking-gemma4-think-on-rag-only-20260415_152307,gemma4:26b,QAPipeline,53,1,3.52,1.249,4.33,30.13,0.00,4.36,,,,0
old,benchmarking-okg-live-gemma4-26b-thinking-on-20260422_041114,gemma4:26b,,53,1,2.71,1.589,,17.83,1.57,0.00,,,,0
old,benchmarking-qwen122b-off-bare-llm-20260420_144108,qwen3.5:122b-a10b,BareLLMPipeline,53,1,2.83,1.377,,24.19,0.00,0.00,,,,0
old,benchmarking-qwen122b-off-multi-20260420_125900,qwen3.5:122b-a10b,,53,1,4.51,0.909,3.76,129.50,9.77,17.49,,,,0
old,benchmarking-qwen122b-on-bare-llm-20260419_183443,qwen3.5:122b-a10b,BareLLMPipeline,42,1,3.12,1.359,,78.46,0.00,0.00,,,,0
old,benchmarking-qwen122b-on-multi-20260419_133538,qwen3.5:122b-a10b,,53,1,4.33,0.990,3.59,152.54,10.26,15.02,,,,0
old,benchmarking-qwen27b-off-bare-llm-20260418_045558,qwen3.5:27b,BareLLMPipeline,53,1,2.49,1.300,,31.28,0.00,0.00,,,,0
old,benchmarking-qwen27b-off-multi-20260418_024237,,,53,1,4.15,1.246,3.41,123.88,9.02,14.02,,,,0
old,benchmarking-qwen27b-on-bare-llm-20260417_032032,qwen3.5:27b,BareLLMPipeline,47,1,2.77,1.283,,91.63,0.00,0.00,,,,0
old,compops-no-tools_gemma4-26b,,,53,1,3.71,1.122,3.50,22.74,0.00,6.83,,,,0
old,compops-tools-fixed_gemma4-26b,,,53,1,3.61,1.304,3.09,24.63,0.00,12.58,,,,0
old,compops-tools_gemma4-26b,,,53,1,3.68,1.201,3.27,30.22,0.00,6.45,,,,0
old,compops_gemma4-26b,,,52,1,3.77,1.140,3.37,14.11,0.00,5.70,,,,0
old,copilot-no-tools_gemma4-26b,,,51,1,3.81,1.079,3.40,31.77,0.00,6.96,,,,0
old,copilot_gemma4-26b,,,51,1,3.79,1.155,3.49,21.59,0.00,6.60,,,,0
old,optimized-tools_compops-gemma4-26b,,,52,1,3.66,1.331,3.44,27.64,0.00,5.81,,,,0
old,optimized-tools_copilot-gemma4-26b,,,50,1,3.69,1.106,2.98,36.44,0.00,5.68,,,,0
old,rag-only_gemma4-26b,,,51,1,3.59,1.399,4.52,29.96,0.00,4.45,,,,0
